# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	10282
#@/user_id	713eb3a7-a407-4821-ba6a-356b9c53ef46
a 	啊	c=44 d=2.14059 t=10094
shi wu 	食物	c=13 d=4.49792 t=7847
shi xian 	實現	c=14 d=1.00093 t=9850
shi xiang 	事項	c=3 d=2.87481 t=6853
shi xiao 	失效	c=1 d=1 t=1792
shi yan 	實驗	c=3 d=2.71387 t=6325
shi yi 	適宜	c=1 d=1 t=7618
shi ying 	石英	c=2 d=1.98511 t=6323
shi yong 	使用	c=46 d=2.92434 t=9618
shi yong 	試用	c=1 d=1 t=247
shi yong yu 	適用於	c=1 d=1 t=8050
shi zai 	實在	c=2 d=1 t=9195
shi zhong 	適中	c=1 d=1 t=5235
shou 	手	c=3 d=1.29229 t=9137
shou 	熟	c=2 d=1.00001 t=9396
shou 	首	c=2 d=1.00008 t=8090
shou cang 	收藏	c=1 d=1 t=422
shou dong 	手動	c=6 d=1 t=5298
shou ji 	手機	c=28 d=1 t=10209
shou jian ren 	收件人	c=1 d=1 t=1416
shou liang 	售量	c=1 d=1 t=7762
shou mai 	售賣	c=1 d=1 t=7750
shou ming 	壽命	c=1 d=1 t=2114
shou quan 	授權	c=0 d=0.1 t=5446
shou quan zhe 	授權者	c=1 d=1 t=5447
shou shou 	收手	c=2 d=1.42528 t=9240
shou tai 	手臺	c=5 d=4.85283 t=8902
shou xian 	首先	c=1 d=1 t=7560
shou xie 	手寫	c=2 d=1.956 t=3028
shou ye 	首頁	c=6 d=1.05966 t=4975
shou zhi 	手指	c=1 d=1 t=7419
shu 	數	c=5 d=1 t=10012
shu 	樹	c=9 d=4.14852 t=9672
shu 	疏	c=0 d=0.1 t=6692
shu biao 	鼠標	c=3 d=1 t=8927
shu chu 	輸出	c=12 d=1.83383 t=9967
shu fu 	舒服	c=3 d=1 t=9544
shu ju 	數據	c=8 d=2.37349 t=4769
shu ju jie gou 	數據結構	c=1 d=1 t=8395
shu liang 	數量	c=1 d=1 t=8451
shu mei 	樹莓	c=0 d=0.1 t=5922
shu mei pai 	樹莓派	c=7 d=1.87951 t=6356
shu ming 	署名	c=1 d=1 t=5468
shu nian 	數年	c=1 d=1 t=7709
shu ru 	輸入	c=18 d=1.80126 t=9692
shu ru fa 	輸入法	c=10 d=1 t=4729
shu shi 	數十	c=0 d=0.136972 t=7526
shu shi 	舒適	c=1 d=1 t=7627
shu shi miao 	數十秒	c=1 d=1 t=7328
shu shi nian 	數十年	c=1 d=1 t=7527
shu tian 	數天	c=1 d=1 t=7460
shu xi 	熟悉	c=3 d=1 t=9535
shu xie 	書寫	c=1 d=1 t=1471
shu xue 	數學	c=1 d=1 t=540
shu you ceng 	疏油層	c=1 d=1 t=6693
shu yue 	數月	c=1 d=1 t=7499
shu zhi 	數值	c=1 d=1 t=4649
shu zhi 	樹脂	c=1 d=1 t=6343
shu zi 	數字	c=4 d=2.3888 t=5727
shu zu 	數組	c=15 d=5.05139 t=9799
shua xin 	刷新	c=2 d=1.00065 t=4588
shuai 	帥	c=1 d=1 t=8799
shuang 	爽	c=5 d=1.00143 t=7320
shuang 	雙	c=4 d=1 t=8926
shuang fang 	雙方	c=2 d=1.96561 t=5260
shuang ji 	雙擊	c=1 d=1 t=2121
shuang xiang 	雙向	c=4 d=1.67774 t=4900
shuang yin hao 	雙引號	c=1 d=1 t=3739
shui 	水	c=3 d=1.00363 t=7759
shui 	睡	c=6 d=1 t=4616
shui 	誰	c=3 d=1 t=7051
shui bu zhao 	睡不着	c=1 d=1 t=707
shui fen 	水分	c=2 d=1.98511 t=7626
shui guo 	水果	c=1 d=1 t=7744
shui long tou 	水龍頭	c=1 d=1 t=8876
shui mi 	水蜜	c=1 d=1 t=521
shui mian 	睡眠	c=2 d=1.01869 t=6623
shui ping 	水平	c=2 d=1 t=3479
shun bian 	順便	c=2 d=1.90937 t=8982
shun dai 	順帶	c=0 d=0.1 t=291
shun dai yi ti 	順帶一提	c=3 d=1 t=6433
shun hua 	順滑	c=1 d=1 t=5931
shun xu 	順序	c=1 d=1 t=6630
shuo 	說	c=28 d=2.3878 t=10263
shuo bu ding 	說不定	c=2 d=1 t=9519
shuo hua 	說話	c=1 d=1 t=3898
shuo ming 	說明	c=3 d=1 t=9134
shuo zhen de 	說真的	c=1 d=1 t=4186
si 	司	c=5 d=4.79444 t=1374
si 	四	c=2 d=1.00001 t=8362
si 	死	c=3 d=1 t=9376
si fa 	司法	c=1 d=1 t=1073
si fu 	私服	c=1 d=1 t=9220
si huo 	死活	c=1 d=1 t=3297
si you 	私有	c=2 d=1.99005 t=5516
song 	送	c=1 d=1 t=5881
song xia 	松下	c=1 d=1 t=7248
sou 	搜	c=1 d=1 t=136
sou gou 	搜狗	c=1 d=1 t=134
sou suo 	搜索	c=6 d=2.04889 t=5737
su 	速	c=1 d=1 t=2829
su du 	速度	c=6 d=1 t=8332
su ji 	速記	c=1 d=1 t=5302
su liao 	塑料	c=1 d=1 t=5005
suan 	算	c=4 d=1 t=4988
suan 	酸	c=2 d=1.22537 t=718
suan le 	算了	c=1 d=1 t=3430
suan shi 	算是	c=1 d=1 t=9997
sui 	歲	c=1 d=1 t=9251
sui 	隨	c=1 d=1 t=2977
sui bian 	隨便	c=2 d=1 t=6426
sui ji 	隨機	c=1 d=1 t=9462
sui ran 	雖然	c=14 d=1.29501 t=9324
sui yi 	隨意	c=1 d=1 t=5503
sun huai 	損壞	c=1 d=1 t=6193
suo 	所	c=1 d=1 t=8136
suo 	鎖	c=2 d=1.93239 t=1004
suo ding 	鎖定	c=3 d=2.0237 t=1122
suo lve tu 	縮略圖	c=1 d=1 t=5178
suo yi 	所以	c=3 d=1 t=8185
suo you 	所有	c=9 d=1.86071 t=5510
ta 	他	c=4 d=1 t=9234
tai 	太	c=4 d=1.00007 t=6621
tai 	態	c=1 d=1 t=6747
tai 	臺	c=6 d=2.6843 t=8943
tai bang le 	太棒了	c=2 d=1.00074 t=1732
tai bei 	臺北	c=3 d=2.91259 t=6152
tai chang 	太長	c=1 d=1 t=9852
tai chao 	太吵	c=1 d=1 t=709
tai ci 	臺詞	c=2 d=1.13534 t=7315
tai duo 	太多	c=4 d=1.00006 t=9186
tai fei 	太廢	c=1 d=1 t=59
tai kong 	太恐	c=1 d=1 t=1420
tai kong 	太空	c=1 d=1 t=2867
tai qiang 	太強	c=0 d=0.1 t=8724
tai qiang le 	太強了	c=1 d=1 t=8725
tai shi 	臺式	c=1 d=1 t=8870
tai shuang 	太爽	c=3 d=1 t=9009
tai tan 	泰坦	c=1 d=1 t=1429
tai wan 	臺灣	c=5 d=4.169 t=6210
tai zhong 	太重	c=2 d=1.00001 t=5328
tan 	碳	c=3 d=2.96042 t=7404
tan chu 	彈出	c=1 d=1 t=9902
tan jiu 	探究	c=1 d=1 t=7563
tan xian wei 	碳纖維	c=1 d=1 t=371
tao 	套	c=1 d=1 t=680
tao bao 	淘寶	c=9 d=1.95124 t=6473
tao ci 	陶瓷	c=1 d=1 t=4993
tao jian 	套件	c=1 d=1 t=1698
tao jie 	套接	c=1 d=1 t=7334
tao tai 	淘汰	c=1 d=1 t=9127
tao wa 	套哇	c=1 d=1 t=1711
tao wa 	套娃	c=5 d=1.99005 t=9821
tao zhuang 	套裝	c=1 d=1 t=6355
te 	特	c=1 d=1 t=9090
te bie 	特別	c=2 d=1.00819 t=10048
te shu 	特殊	c=8 d=1 t=9153
te xing 	特性	c=1 d=1 t=2487
ti 	提	c=1 d=1 t=2550
ti 	題	c=1 d=1 t=8853
ti a 	提啊	c=1 d=1 t=6632
ti cai 	題材	c=1 d=1 t=10139
ti gao 	提高	c=2 d=1.97531 t=9262
ti gong 	提供	c=5 d=1.51685 t=8659
ti huan 	替換	c=10 d=1 t=9971
ti jiao 	提交	c=5 d=1 t=8642
ti qian 	提前	c=1 d=1 t=5325
ti sheng 	提升	c=2 d=1 t=8419
ti xian 	體現	c=1 d=1 t=9217
ti xing 	提醒	c=1 d=1 t=6996
ti yan 	體驗	c=3 d=1.96117 t=7282
ti zhu 	題主	c=1 d=1 t=3216
tian 	天	c=2 d=1 t=6633
tian fu 	天賦	c=1 d=1 t=1727
tian jia 	添加	c=28 d=3.91281 t=9843
tian ti 	天梯	c=0 d=0.1 t=6802
tian ti tu 	天梯圖	c=1 d=1 t=6803
tian yuan 	天元	c=0 d=0.1 t=6381
tian yuan tu po 	天元突破	c=1 d=1 t=6382
tiao 	挑	c=2 d=1 t=7012
tiao guo 	跳過	c=2 d=1.97531 t=2441
tiao jian 	條件	c=4 d=1.23311 t=8112
tiao li 	條理	c=1 d=1 t=5627
tiao shi 	調試	c=2 d=1 t=8301
tiao zheng 	調整	c=7 d=1.99214 t=9812
tiao zhuan 	跳轉	c=4 d=1 t=9423
tie 	鐵	c=0 d=0.1 t=6698
tie he 	貼合	c=1 d=1 t=3552
tie li zi 	鐵離子	c=1 d=1 t=6699
ting 	廳	c=2 d=1 t=8916
ting 	挺	c=7 d=1 t=10275
ting 	聽	c=1 d=1 t=9523
ting bu cuo 	挺不錯	c=1 d=1 t=3211
ting fu 	停服	c=1 d=1 t=4971
ting li hai 	挺厲害	c=1 d=1 t=5960
ting shuo 	聽說	c=2 d=1 t=10168
ting zhi 	停止	c=1 d=1 t=5299
tong 	同	c=5 d=1.00003 t=4556
tong 	銅	c=6 d=1.09755 t=7410
tong bu 	同步	c=2 d=1.67032 t=1000
tong chang 	通常	c=1 d=1 t=2692
tong gan 	同感	c=1 d=1 t=3644
tong guo 	通過	c=1 d=1 t=4220
tong li zi 	銅離子	c=1 d=1 t=6614
tong shang 	同上	c=1 d=1 t=4403
tong shi 	同時	c=4 d=1 t=7728
tong xian 	銅線	c=1 d=1 t=6618
tong xue 	同學	c=1 d=1 t=692
tong yang 	同樣	c=1 d=1 t=1287
tong yong 	通用	c=2 d=1 t=8078
tong zhi 	通知	c=1 d=1 t=9587
tou 	投	c=1 d=1 t=5368
tou 	頭	c=14 d=1.45237 t=10172
tou bi 	投幣	c=1 d=1 t=8867
tou bu 	頭部	c=2 d=1 t=9895
tou ming 	透明	c=1 d=1 t=469
tou xu 	頭緒	c=1 d=1 t=358
tu 	兔	c=1 d=1 t=4856
tu 	圖	c=11 d=4.37061 t=8456
tu biao 	圖標	c=1 d=1 t=3227
tu pian 	圖片	c=6 d=1 t=7896
tu po 	突破	c=0 d=0.1 t=6381
tu ran 	突然	c=2 d=1.00323 t=6716
tuan 	團	c=1 d=1 t=6739
tui 	推	c=1 d=1 t=6750
tui chu 	推出	c=1 d=1 t=4296
tui chu 	退出	c=9 d=4.75517 t=2465
tui dao 	推導	c=1 d=1 t=9924
tui jian 	推薦	c=17 d=1.54502 t=9119
tui te 	推特	c=1 d=1 t=2774
tui xiao 	推銷	c=1 d=1 t=9081
tuo 	拖	c=2 d=1 t=8343
tuo guan 	託管	c=2 d=1.2265 t=2709
tuo shan 	妥善	c=1 d=1 t=7467
tuo shui 	脫水	c=1 d=1 t=7649
wa 	哇	c=1 d=1 t=7314
wa 	娃	c=1 d=1 t=1712
wai 	外	c=4 d=1.91393 t=8576
wai qie yuan 	外切圓	c=1 d=1 t=6691
wai xing 	外形	c=1 d=1 t=9042
wan 	完	c=4 d=1.00003 t=9004
wan 	玩	c=11 d=1.00005 t=8873
wan 	萬	c=4 d=1.33506 t=9669
wan cheng 	完成	c=8 d=1.00003 t=8210
wan jia 	玩家	c=3 d=1.95618 t=6658
wan jie 	完結	c=4 d=3.83167 t=7352
wan mei 	完美	c=4 d=1.00393 t=8221
wan quan 	完全	c=5 d=1.00001 t=6863
wan shan 	完善	c=1 d=1 t=5129
wan shi 	完事	c=5 d=1 t=9574
wan wan 	玩玩	c=1 d=1 t=3008
wan yi 	玩意	c=2 d=1 t=9668
wan yi 	萬一	c=2 d=1 t=9439
wan you yin li 	萬有引力	c=1 d=1 t=6269
wang 	王	c=1 d=1 t=1441
wang 	網	c=9 d=3.0586 t=9078
wang ji 	忘記	c=3 d=1 t=8884
wang ka 	網卡	c=1 d=1 t=2509
wang luo 	網絡	c=8 d=1.02204 t=6182
wang pan 	網盤	c=3 d=1.82696 t=8699
wang qian 	往前	c=1 d=1 t=4526
wang shang 	往上	c=1 d=1 t=8238
wang su 	網速	c=1 d=1 t=793
wang wang 	往往	c=1 d=1 t=7802
wang ye 	網頁	c=4 d=1.8781 t=6549
wei 	位	c=17 d=1.21055 t=9778
wei 	味	c=2 d=1.04243 t=3604
wei 	尾	c=7 d=3.94862 t=4752
wei 	微	c=1 d=1 t=4081
wei 	未	c=5 d=1.69768 t=7881
wei 	爲	c=63 d=4.60239 t=9959
wei 	維	c=0 d=0.100185 t=7518
wei bu 	尾部	c=7 d=4.41821 t=4548
wei bu 	未補	c=1 d=1 t=6994
wei dao 	味道	c=2 d=1.99501 t=3148
wei du 	緯度	c=1 d=1 t=7966
wei hai 	危害	c=1 d=1 t=7513
wei ji 	維基	c=1 d=1 t=1061
wei jing 	未經	c=1 d=1 t=5512
wei jing xu ke 	未經許可	c=1 d=1 t=5517
wei lai 	未來	c=2 d=1 t=6829
wei le 	爲了	c=1 d=1 t=37
wei shen me 	爲什麼	c=20 d=1.01794 t=9355
wei sheng wu 	微生物	c=4 d=2.8861 t=7690
wei wen 	未聞	c=1 d=1 t=7377
wei xian 	危險	c=1 d=1 t=9513
wei xin 	微信	c=9 d=2.03969 t=4058
wei xing 	微星	c=1 d=1 t=8810
wei xiu 	維修	c=1 d=1 t=1410
wei zhi 	位置	c=12 d=2.86705 t=9727
wei zhi 	爲止	c=2 d=1.94176 t=6734
wei zhun 	爲準	c=1 d=1 t=5290
wen 	問	c=4 d=1.07688 t=4174
wen ben 	文本	c=4 d=1 t=5058
wen ben bian ji qi 	文本編輯器	c=1 d=1 t=5610
wen da 	問答	c=1 d=1 t=296
wen dang 	文檔	c=4 d=1.10807 t=3540
wen ding 	穩定	c=1 d=1 t=589
wen du 	溫度	c=3 d=1.00018 t=9340
wen hua 	文化	c=1 d=1 t=1370
wen jian 	文件	c=49 d=2.32513 t=9813
wen jian jia 	文件夾	c=14 d=1.935 t=9565
wen ti 	問題	c=26 d=3.9135 t=8617
wen yi 	文藝	c=1 d=1 t=303
wen zhang 	文章	c=3 d=2.75225 t=7901
wen zi 	文字	c=1 d=1 t=2694
wo 	我	c=134 d=2.66705 t=10265
wo de 	我的	c=1 d=1 t=7271
wo fo li 	我佛力	c=1 d=1 t=717
wo jiao de 	我覺得	c=2 d=1 t=10274
wu 	五	c=1 d=1 t=2715
wu 	吳	c=4 d=1.10198 t=7905
wu 	嗚	c=2 d=1 t=10095
wu 	無	c=9 d=1.04125 t=9416
wu bi 	務必	c=1 d=1 t=9606
wu chu 	誤觸	c=1 d=1 t=5937
wu fa 	無法	c=13 d=1 t=9993
wu jin 	無盡	c=20 d=6.05685 t=7421
wu li 	物理	c=5 d=3.55965 t=6326
wu liao 	無聊	c=0 d=0.1 t=3096
wu nao 	無腦	c=3 d=1 t=10022
wu pin 	物品	c=2 d=1.00073 t=9281
wu shui 	無水	c=2 d=1.89137 t=7779
wu xian 	無限	c=1 d=1 t=2110
wu xiao 	無效	c=4 d=1.00454 t=4278
wu xu 	無序	c=1 d=1 t=3966
xi 	戲	c=2 d=1.00698 t=3949
xi 	系	c=6 d=4.08336 t=1438
xi 	錫	c=1 d=1 t=6335
xi er 	希爾	c=1 d=1 t=9804
xi gou 	析構	c=1 d=1 t=4479
xi guan 	習慣	c=2 d=1 t=7018
xi huan 	喜歡	c=4 d=1.00934 t=10049
xi jie 	細節	c=4 d=1.17291 t=5812
xi jun 	細菌	c=1 d=1 t=7582
xi lie 	系列	c=1 d=1 t=8051
xi nao 	洗腦	c=1 d=1 t=9311
xi tong 	系統	c=23 d=1.33789 t=9579
xi wan 	洗完	c=1 d=1 t=5136
xi wang 	希望	c=2 d=1.00006 t=10158
xia 	下	c=42 d=1.05756 t=10235
xia 	瞎	c=2 d=1.0021 t=5622
xia biao 	下標	c=1 d=1 t=8328
xia fang 	下方	c=2 d=1 t=5906
xia hua xian 	下劃線	c=1 d=1 t=5549
xia ke 	下課	c=1 d=1 t=698
xia la 	下拉	c=1 d=1 t=2112
xia le 	瞎了	c=1 d=1 t=9111
xia le yi tiao 	嚇了一跳	c=1 d=1 t=6856
xia pai 	瞎拍	c=1 d=1 t=8044
xia qu 	下去	c=3 d=1.01411 t=7232
xia yi ge 	下一個	c=3 d=1 t=9950
xia zai 	下載	c=22 d=2.6105 t=10241
xian 	先	c=3 d=1.00024 t=6756
xian 	線	c=6 d=1.59227 t=6574
xian 	閒	c=2 d=1.00002 t=5313
xian 	限	c=1 d=1 t=2325
xian 	顯	c=1 d=1 t=8162
xian cheng 	現成	c=1 d=1 t=8671
xian cheng 	線程	c=1 d=1 t=2687
xian cun 	顯存	c=4 d=2.86946 t=8780
xian dai 	現代	c=1 d=1 t=2878
xian de 	顯得	c=0 d=0.1 t=3096
xian de wu liao 	顯得無聊	c=1 d=1 t=3097
xian ding 	限定	c=3 d=1.00001 t=7088
xian jin 	現金	c=1 d=1 t=9102
xian ka 	顯卡	c=8 d=1 t=9176
xian shi 	現實	c=1 d=1 t=3038
xian shi 	顯示	c=21 d=1.00087 t=5804
xian shi qi 	顯示器	c=2 d=1.00001 t=3364
xian wei jing 	顯微鏡	c=1 d=1 t=7014
xian xiang 	現象	c=1 d=1 t=7866
xian xing 	線性	c=1 d=1 t=8396
xian you 	現有	c=1 d=1 t=2851
xian yu 	鹹魚	c=3 d=2.00178 t=6468
xian zai 	現在	c=24 d=1.01357 t=10214
xian zi 	仙子	c=1 d=1 t=4628
xiang 	像	c=3 d=1.98511 t=9080
xiang 	向	c=2 d=1.13946 t=5292
xiang 	想	c=13 d=1.06722 t=8905
xiang 	項	c=5 d=1.00012 t=8363
xiang 	香	c=5 d=2.97521 t=7395
xiang bi 	相比	c=1 d=1 t=2429
xiang dang 	相當	c=1 d=1 t=10035
xiang dao 	想到	c=2 d=1.54064 t=6717
xiang deng 	相等	c=2 d=1.00137 t=9634
xiang fan 	相反	c=1 d=1 t=8113
xiang guan 	相關	c=5 d=1.98511 t=8606
xiang guo 	想過	c=1 d=1 t=8417
xiang ji 	相機	c=1 d=1 t=2150
xiang mu 	項目	c=1 d=1 t=2548
xiang shang 	向上	c=2 d=1.00025 t=9800
xiang su 	像素	c=1 d=1 t=5995
xiang tong 	相同	c=1 d=1 t=9636
xiang wo 	像我	c=1 d=1 t=2778
xiang xi 	詳細	c=4 d=1.68045 t=10259
xiang xiang 	想想	c=1 d=1 t=5890
xiang xiang 	想象	c=1 d=1 t=10097
xiang xin liao 	香辛料	c=1 d=1 t=7367
xiang zhi 	象徵	c=1 d=1 t=651
xiang zuo 	向左	c=2 d=1.99501 t=5241
xiao 	小	c=4 d=1 t=5807
xiao 	笑	c=6 d=1 t=10118
xiao dian 	笑點	c=1 d=1 t=10107
xiao guo 	效果	c=4 d=1.00006 t=4999
xiao long 	霄龍	c=1 d=1 t=2141
xiao long 	驍龍	c=4 d=1.00002 t=6177
xiao lv 	效率	c=4 d=1 t=8509
xiao mi 	小米	c=9 d=3.3716 t=3494
xiao pen 	笑噴	c=1 d=1 t=5908
xiao sheng 	小聲	c=1 d=1 t=9894
xiao shi 	小時	c=5 d=1.09951 t=9300
xiao ying 	效應	c=1 d=1 t=10143
xiao yu 	小於	c=1 d=1 t=4521
xie 	些	c=8 d=1 t=9305
xie 	寫	c=5 d=1.02612 t=6982
xie 	謝	c=1 d=1 t=7024
xie gang 	斜槓	c=2 d=1.40861 t=5740
xie lou 	泄漏	c=1 d=1 t=1495
xie tiao 	協調	c=1 d=1 t=7949
xie xie 	謝謝	c=2 d=1 t=8750
xie yi 	協議	c=10 d=1.97064 t=7434
xie zai 	卸載	c=5 d=1.02472 t=5756
xie zhe 	寫着	c=1 d=1 t=1409
xie zuo 	寫作	c=1 d=1 t=313
xin 	心	c=1 d=1 t=7026
xin 	新	c=16 d=4.12096 t=10077
xin bao dao 	新寶島	c=1 d=1 t=8155
xin hao 	信號	c=4 d=2.67894 t=4947
xin jian 	新建	c=3 d=1.05192 t=4214
xin qi lou 	心綺樓	c=1 d=1 t=7163
xin teng 	心疼	c=1 d=1 t=3131
xin xi 	信息	c=5 d=1.00067 t=10072
xin xian 	新鮮	c=1 d=1 t=7463
xin zeng 	新增	c=1 d=1 t=8492
xing 	性	c=3 d=1 t=7739
xing 	星	c=5 d=1.41644 t=6879
xing 	行	c=7 d=1.60034 t=7035
xing bu xing 	行不行	c=2 d=1.95123 t=8029
xing dong 	行動	c=1 d=1 t=9507
xing hao 	型號	c=2 d=1.97045 t=8017
xing jia bi 	性價比	c=2 d=1.74082 t=9200
xing man 	刑滿	c=0 d=0.1 t=7324
xing man shi fang 	刑滿釋放	c=1 d=1 t=7325
xing neng 	性能	c=5 d=2.93971 t=6802
xing qi 	星期	c=1 d=1 t=6844
xing shi 	形式	c=1 d=1 t=7522
xing yun 	幸運	c=4 d=1.41644 t=6878
xing zheng 	行政	c=5 d=2.55528 t=1375
xiong da 	胸大	c=1 d=1 t=2905
xiu 	修	c=2 d=1.00006 t=3990
xiu 	秀	c=1 d=1 t=2982
xiu fu 	修復	c=6 d=1.01319 t=8100
xiu gai 	修改	c=10 d=1.00474 t=9836
xu 	序	c=2 d=1.9802 t=7244
xu 	續	c=1 d=1 t=10155
xu 	需	c=1 d=1 t=2354
xu duo 	許多	c=8 d=1.32304 t=10071
xu duo ren 	許多人	c=1 d=1 t=10100
xu hang 	續航	c=1 d=1 t=3186
xu hao 	序號	c=2 d=1 t=6511
xu ke 	許可	c=2 d=1.53259 t=5513
xu ni 	虛擬	c=2 d=1.00011 t=3710
xu ni ji 	虛擬機	c=9 d=2.76081 t=3772
xu qiu 	需求	c=2 d=1 t=7651
xu yao 	需要	c=13 d=1.21237 t=8486
xuan 	選	c=2 d=1.85642 t=8940
xuan cheng 	宣稱	c=1 d=1 t=7765
xuan chuan 	宣傳	c=1 d=1 t=7863
xuan xiang 	選項	c=1 d=1 t=2502
xuan ze 	選擇	c=5 d=1.00004 t=8936
xue 	學	c=10 d=1 t=9892
xue dao 	學到	c=1 d=1 t=7572
xue tiao 	血條	c=1 d=1 t=6807
xue xi 	學習	c=3 d=1.00026 t=7333
xue xiao 	學校	c=4 d=1.97959 t=6102
xun huan 	循環	c=4 d=1.04016 t=9955
xun xu 	循序	c=2 d=1.01139 t=8287
ya 	壓	c=2 d=1.00001 t=6689
ya gen 	壓根	c=1 d=1 t=3336
ya ke li 	亞克力	c=1 d=1 t=6616
ya ru 	壓入	c=1 d=1 t=9901
ya ru 	軋入	c=1 d=1 t=9900
ya si 	雅思	c=1 d=1 t=726
ya suo 	壓縮	c=2 d=1.99005 t=2668
yan 	顏	c=1 d=1 t=6619
yan chi 	延遲	c=2 d=1.00109 t=3030
yan ji 	驗機	c=1 d=1 t=6451
yan jiang 	演講	c=1 d=1 t=7435
yan jin 	嚴謹	c=1 d=1 t=10061
yan jing 	眼鏡	c=1 d=1 t=6694
yan mi 	嚴密	c=1 d=1 t=10038
yan se 	顏色	c=5 d=2.21146 t=6615
yan sheng 	衍生	c=0 d=0.1 t=5443
yan sheng zuo pin 	衍生作品	c=3 d=2.95551 t=5449
yan ti 	掩體	c=2 d=1.96561 t=5264
yan xu 	延續	c=1 d=1 t=1428
yan yi 	演繹	c=2 d=1.92774 t=5522
yan zheng 	驗證	c=1 d=1 t=3329
yan zhi 	醃製	c=3 d=2.56295 t=7755
yang fen 	養分	c=2 d=1.71534 t=7701
yang hua gai 	氧化鈣	c=1 d=1 t=9368
yang ji 	陽極	c=2 d=1.92774 t=6605
yang lao 	養老	c=1 d=1 t=416
yang le 	癢了	c=1 d=1 t=9032
yang sheng qi 	揚聲器	c=1 d=1 t=3901
yao 	妖	c=1 d=1 t=4974
yao 	要	c=24 d=1.32735 t=9196
yao bu 	要不	c=1 d=1 t=7082
yao qiu 	要求	c=4 d=1.00006 t=7781
ye 	也	c=53 d=2.51108 t=10266
ye 	夜	c=1 d=1 t=3830
ye 	業	c=3 d=1.09871 t=9974
ye 	葉	c=1 d=1 t=6187
ye 	頁	c=1 d=0.100134 t=3791
ye jiu shi 	也就是	c=1 d=1 t=8229
ye shi 	也是	c=6 d=1.00001 t=9175
ye xing 	也行	c=1 d=1 t=3713
yi 	一	c=5 d=1.00134 t=6453
yi 	以	c=6 d=1.00438 t=9695
yi 	已	c=1 d=1 t=5267
yi 	義	c=3 d=2.97521 t=6087
yi 	翼	c=1 d=1 t=1440
yi 	藝	c=2 d=1.07465 t=6620
yi bai 	一百	c=1 d=1 t=7298
yi ban 	一般	c=2 d=1 t=7484
yi bian 	一遍	c=1 d=1 t=2989
yi bu 	異步	c=1 d=1 t=1294
yi chang 	異常	c=3 d=1.38342 t=4812
yi ci 	一次	c=3 d=1.11422 t=9468
yi dai 	一代	c=1 d=1 t=1522
yi dian 	一點	c=2 d=1.3027 t=10069
yi ding 	一定	c=4 d=1.01391 t=8483
yi dong 	移動	c=3 d=1.00082 t=5983
yi dui 	一堆	c=2 d=1.07172 t=1212
yi fen 	一份	c=2 d=1.98511 t=1589
yi fu 	衣服	c=1 d=1 t=8747
yi ge 	一個	c=17 d=1.16923 t=10114
yi ge ge 	一個個	c=2 d=1 t=7989
yi ge ren 	一個人	c=1 d=1 t=2046
yi hang 	一行	c=2 d=1 t=8579
yi hou 	以後	c=3 d=1 t=6647
yi ji 	一集	c=2 d=1.32956 t=6892
yi ji 	以及	c=10 d=1.00003 t=10075
yi jian 	一鍵	c=6 d=1 t=6361
yi jie 	一節	c=0 d=0.1 t=10005
yi jie jie 	一節節	c=1 d=1 t=10006
yi jing 	已經	c=10 d=1.00001 t=10191
yi ju hua 	一句話	c=1 d=1 t=10264
yi kao 	依靠	c=1 d=1 t=7491
yi kou qi 	一口氣	c=1 d=1 t=3133
yi kuan 	一款	c=1 d=1 t=2597
yi lai 	依賴	c=2 d=1.90484 t=8575
yi liang ge 	以兩個	c=1 d=1 t=1319
yi miao 	一秒	c=1 d=1 t=3847
yi mo yi yang 	一模一樣	c=1 d=1 t=1706
yi nian 	一年	c=3 d=1.00142 t=7942
yi nian qian 	一年前	c=1 d=1 t=5378
yi qian 	一千	c=1 d=1 t=6406
yi qian 	以前	c=10 d=1.44232 t=9370
yi qie 	一切	c=1 d=1 t=6901
yi quan 	一圈	c=1 d=1 t=257
yi shang 	以上	c=3 d=1.00248 t=8865
yi si 	意思	c=2 d=1 t=7069
yi si ba 	意思吧	c=1 d=1 t=3695
yi ti 	一提	c=0 d=0.1 t=291
yi tian 	一天	c=2 d=1.0002 t=7943
yi tong 	一同	c=1 d=1 t=5446
yi wai 	以外	c=2 d=1.00081 t=7652
yi wai 	意外	c=1 d=1 t=6230
yi wan 	一晚	c=1 d=1 t=4607
yi wei 	一位	c=0 d=0.1 t=8252
yi wei 	以爲	c=1 d=1.00005 t=6684
yi wei wei 	一位位	c=1 d=1 t=8253
yi xia 	一下	c=2 d=1.00001 t=3849
yi xia 	以下	c=4 d=1.25924 t=8153
yi xie 	一些	c=2 d=1 t=5810
yi xue 	醫學	c=1 d=1 t=9381
yi yan 	一眼	c=1 d=1 t=5957
yi yang 	一樣	c=8 d=1 t=9872
yi yi 	異議	c=1 d=1 t=6688
yi yong xing 	易用性	c=2 d=1 t=5695
yi zhi 	一直	c=3 d=1.48919 t=6826
yi zhi 	一致	c=1 d=1 t=1803
yi zhong 	一種	c=2 d=1.93707 t=7686
yi zhou 	一週	c=1 d=1 t=426
yin 	因	c=1 d=1 t=7846
yin 	音	c=1 d=1 t=2877
yin ci 	因此	c=5 d=2.51446 t=7799
yin dao 	引導	c=1 d=1 t=235
